Model,Index,Std_Model,Std_Obs,RMSE,CRMSE,Std_Ratio,Correlation,RMSE_Prime
MIROC6.csv,SU,10.418999738725189,11.858215883960675,67.76648357629527,14.886815776069014,0.8786313085105696,0.11151513025108559,1.4232384298080558
MRI-ESM2-0.csv,SU,9.31032216227946,11.858215883960675,27.965256221882814,14.629688232418959,0.7851368412741183,0.06010483207190157,0.0
NorESM2-LM.csv,SU,9.433199551175138,11.858215883960675,29.08003005755235,11.892594899477269,0.7954990568129566,0.3940997751407832,0.03986281501677157
NorESM2-MM.csv,SU,9.509092464908143,11.858215883960675,44.96809568604868,12.6003380319148,0.801899084816803,0.3204640231093674,0.6079987012906801
ACCESS-ESM1-5,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
BCC-CSM2-MR,ID,0.5108560823753225,0.7184135089359568,0.9229582069908973,0.9162456945817025,0.7110891930915277,-0.08503169063249556,0.21814242506446496
CanESM5.csv,ID,1.5063878615996487,0.7184135089359568,1.9626135258506325,1.7681064092266685,2.0968256343491674,-0.1574916639370614,1.5903045032109329
CMCC-ESM2.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
CNRM-CM6-1.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
CNRM-ESM2-1.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
INM-CM4-8.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
INM-CM5-0.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
IPSL-CM6A-LR.csv,ID,1.3250773199998753,0.7184135089359568,1.7480147469502525,1.6377114414426306,1.8444493366535508,-0.21542591861695767,1.307071876895319
MIROC6.csv,ID,0.13481684980149106,0.7184135089359568,0.769800358919501,0.7370277311900888,0.18765912406236412,-0.046029596468126904,0.016001016001524048
MRI-ESM2-0.csv,ID,0.32499868101452295,0.7184135089359568,0.7817359599705717,0.7637626158259734,0.45238386663396535,0.08225161211526663,0.03175390914319208
NorESM2-LM.csv,ID,0.3871212029697569,0.7184135089359568,0.8606629658238704,0.8534606386520678,0.5388556843023771,-0.11221022258928208,0.13592366849412957
NorESM2-MM.csv,ID,0.0,0.7184135089359568,0.7576767609436587,0.7184135089359566,0.0,,0.0
ACCESS-ESM1-5,FD,11.086345857489713,7.992130045312057,49.20742190331018,12.64276497340829,1.3871578408552836,0.15203516532403,0.03196613535972013
BCC-CSM2-MR,FD,9.323057982812916,7.992130045312057,69.2587740129565,13.706806455548882,1.1665298149498382,-0.24884208171363548,0.4524782358714665
CanESM5.csv,FD,9.37373676903129,7.992130045312057,76.47330688983357,10.691666305822572,1.172870901234852,0.24980841004678914,0.6037796721874309
CMCC-ESM2.csv,FD,10.925674824484314,7.992130045312057,47.683175074497555,12.891669027534824,1.3670541848719024,0.09762652959499935,0.0
CNRM-CM6-1.csv,FD,11.177026703284103,7.992130045312057,65.75107378365546,14.011814043322033,1.3985041084060201,-0.042152757492226064,0.3789155961390913
CNRM-ESM2-1.csv,FD,9.102299261826753,7.992130045312057,60.9497364257662,11.223765326007065,1.1389078018276102,0.1426392501022361,0.278223111832249
INM-CM4-8.csv,FD,10.337597022930659,7.992130045312057,34.003267816817576,12.099382700303147,1.2934720736925924,0.14733214788386712,-0.2868917020795542
INM-CM5-0.csv,FD,13.949644891272056,7.992130045312057,43.7981481089986,15.648060486276481,1.7454226610657442,0.06101559993955241,-0.08147584466489911
IPSL-CM6A-LR.csv,FD,12.214419507113204,7.992130045312057,67.08383367653299,12.892360643534719,1.5283059006625919,0.23997947951486057,0.4068659138516871
MIROC6.csv,FD,10.749373925048904,7.992130045312057,20.2895703913776,12.61783961473635,1.344994871718105,0.11764179445186033,-0.5744920433742448
MRI-ESM2-0.csv,FD,11.687048627610935,7.992130045312057,46.501891638146574,12.998799670236519,1.4623196271019396,0.16858119752041892,-0.024773590150098203
